"Time (CH28, Marker)","Delta T (CH28, Marker)","Mean (CH 5, Rate)","Mean (CH 2, EDA)","Mean (CH40, OO-Zygo Integrated)","Mean (CH41, Corrugator Integrated)","Mean (CH28, Marker)"
22.5,0.5,63.37229112,0.159401047,9.64E-05,0.000281158,2.51497006
23,0.5,63.76195537,0.159304803,8.61E-05,0.000281954,0
23.5,0.5,64.68647743,0.159249981,8.84E-05,0.000281915,0
24,0.5,65.00779395,0.15911049,7.75E-05,0.000279983,0
24.5,0.5,66.51884701,0.158924704,8.12E-05,0.000281342,0
25,0.5,65.75946368,0.158819933,8.33E-05,0.000280644,1.487025948
25.5,0.5,63.76195537,0.158753538,8.45E-05,0.000280238,3.423153693
26,0.5,64.49142954,0.158600036,8.29E-05,0.000280696,0
26.5,0.5,65.43075245,0.158495874,8.44E-05,0.000281049,0
27,0.5,72.81848962,0.158391104,8.95E-05,0.000281636,0
27.5,0.5,74.40979994,0.158310698,8.48E-05,0.000282182,0
28,0.5,74.62686567,0.158227856,8.52E-05,0.000280998,0
28.5,0.5,73.19560231,0.158087146,8.26E-05,0.000281647,0
29,0.5,72.02881152,0.15801405,8.44E-05,0.000281499,0
29.5,0.5,67.67058297,0.157913543,8.29E-05,0.000280248,0
30,0.5,66.07929515,0.157806336,9.34E-05,0.000282291,0
30.5,0.5,63.74191894,0.157694255,8.40E-05,0.000280714,0
31,0.5,64.0796711,0.157593748,8.42E-05,0.000281194,0
31.5,0.5,69.76744186,0.157487759,8.33E-05,0.000280965,0
32,0.5,68.61972452,0.157441465,8.28E-05,0.000281826,0
32.5,0.5,65.93406593,0.157331821,8.14E-05,0.000280608,0
33,0.5,64.62102952,0.157231314,8.81E-05,0.000279877,0
33.5,0.5,62.43496358,0.157139944,7.96E-05,0.000280839,0
34,0.5,62.15517666,0.157038218,8.33E-05,0.000282057,0
34.5,0.5,61.79196704,0.156930402,7.91E-05,0.000280563,0
35,0.5,64.87635782,0.156822585,7.72E-05,0.000280401,0
35.5,0.5,66.66666667,0.156797002,8.32E-05,0.000282034,0
36,0.5,66.2445781,0.156673957,8.34E-05,0.00028062,0
36.5,0.5,66.15214994,0.156588069,8.40E-05,0.000280669,0
37,0.5,64.08807133,0.156473552,8.23E-05,0.000281302,0
37.5,0.5,64.02779692,0.156365735,8.32E-05,0.000282522,0
38,0.5,64.65517241,0.156265228,7.75E-05,0.000281284,0
38.5,0.5,66.97629083,0.156173249,8.09E-05,0.000281357,0
39,0.5,70.58823529,0.156077615,8.26E-05,0.000282905,99999
40,0.5,69.60556845,0.155914368,7.64E-05,0.0002821,0.269461078
40.5,0.5,64.84365263,0.155805942,7.91E-05,0.000282725,0
41,0.5,63.42494715,0.155738328,8.36E-05,0.000283846,0
41.5,0.5,63.30796538,0.155650004,7.91E-05,0.000281922,0
42,0.5,63.29113924,0.15556107,8.74E-05,0.000282772,0
42.5,0.5,62.47426905,0.155495893,8.83E-05,0.000283551,99999
86,0.5,70.57266469,0.183261407,7.46E-05,0.000280022,4.151696607
86.5,0.5,71.25890736,0.183000698,7.19E-05,0.000282052,0
87,0.5,71.38285357,0.182705877,7.05E-05,0.000283348,0
87.5,0.5,71.42857143,0.182454305,6.80E-05,0.000281578,0
88,0.5,68.07514239,0.182166185,7.03E-05,0.000281277,0
88.5,0.5,67.89747146,0.181964562,6.90E-05,0.000280813,99999
89.5,0.5,61.36982965,0.181314617,7.16E-05,0.000281186,0.389221557
90,0.5,61.66495375,0.181093501,7.27E-05,0.000282426,0
90.5,0.5,62.48220836,0.180827919,7.39E-05,0.000281203,0
91,0.5,65.28835691,0.18050447,8.45E-05,0.000281239,0
91.5,0.5,67.90995593,0.180355841,7.59E-05,0.00028163,0
92,0.5,70.33997655,0.180129853,8.30E-05,0.000282163,0
92.5,0.5,74.62794224,0.179839905,7.51E-05,0.000282121,0
93,0.5,74.11886441,0.17959747,7.18E-05,0.000281965,0
93.5,0.5,71.25890736,0.179380619,6.91E-05,0.000281585,0
94,0.5,69.08781243,0.179085189,7.18E-05,0.000281624,0
94.5,0.5,66.07929515,0.178825089,7.31E-05,0.000282258,0
95,0.5,66.58555357,0.178570471,7.38E-05,0.000281789,0
95.5,0.5,66.88963211,0.1783323,7.51E-05,0.000281435,0
96,0.5,71.6282773,0.178159306,7.21E-05,0.000281593,0
96.5,0.5,72.67583763,0.177935145,7.40E-05,0.000281663,0
97,0.5,74.25742574,0.177729867,7.66E-05,0.000281789,0
97.5,0.5,72.14167365,0.177506925,7.10E-05,0.000281457,0
98,0.5,71.00591716,0.177322966,7.04E-05,0.000280748,0
98.5,0.5,71.0866889,0.177142054,7.41E-05,0.000281181,0
99,0.5,72.37241534,0.176992816,7.23E-05,0.000282095,0
99.5,0.5,74.71980075,0.176763782,7.51E-05,0.000282255,0
100,0.5,75.44387903,0.176574951,7.04E-05,0.000281641,0
100.5,0.5,75.45071629,0.17638551,7.38E-05,0.000281895,0
101,0.5,69.04487917,0.176178405,7.17E-05,0.000280538,0
101.5,0.5,68.57856178,0.175941452,7.08E-05,0.000282026,0
102,0.5,67.11409396,0.175713636,7.64E-05,0.00028118,0
102.5,0.5,65.97678988,0.175470592,8.37E-05,0.00028259,0
103,0.5,64.03415155,0.175200137,8.04E-05,0.00028178,3.063872255
103.5,0.5,68.06705262,0.174955874,8.21E-05,0.000282698,1.906187625
104,0.5,70.1754386,0.174675673,7.76E-05,0.000281044,0
104.5,0.5,69.28363876,0.174436893,7.88E-05,0.000282526,0
105,0.5,69.05186089,0.17443202,8.02E-05,0.000283089,0
105.5,0.5,68.33712984,0.174037911,7.26E-05,0.000281571,0
106,0.5,67.7690436,0.173861262,6.96E-05,0.000281886,99999
152,0.5,75.19552638,0.148769843,6.81E-05,0.000282747,2.215568862
152.5,0.5,73.89162562,0.148749742,7.00E-05,0.000284259,0
153,0.5,69.84423515,0.148732077,7.17E-05,0.000283422,0
153.5,0.5,66.15214994,0.148686392,7.11E-05,0.000283156,0
154,0.5,64.26443299,0.148711975,7.05E-05,0.000283441,0
154.5,0.5,63.09148265,0.148686392,6.94E-05,0.000282736,1.616766467
155,0.5,62.46117464,0.14870162,7.01E-05,0.000281661,3.293413174
155.5,0.5,62.1761658,0.148675427,6.63E-05,0.000283182,0
156,0.5,64.49452216,0.148661417,6.61E-05,0.000284148,0
156.5,0.5,66.34763599,0.1486669,7.04E-05,0.000284005,0
157,0.5,72.46376812,0.148636443,6.90E-05,0.000283946,0
157.5,0.5,70.74395977,0.148601722,7.66E-05,0.000283092,0
158,0.5,68.49315068,0.148573702,6.76E-05,0.000285727,0
158.5,0.5,67.1677617,0.148546291,6.78E-05,0.000283856,0
159,0.5,66.37168142,0.148531063,7.54E-05,0.000283585,0
159.5,0.5,64.04312939,0.148538372,6.87E-05,0.000283178,0
160,0.5,63.15789474,0.148548119,6.84E-05,0.000284604,0
160.5,0.5,61.94954736,0.148502434,7.21E-05,0.000283017,0
161,0.5,61.60164271,0.148475023,7.61E-05,0.000283215,0
161.5,0.5,62.96530467,0.14849817,6.77E-05,0.000283494,0
162,0.5,63.47818357,0.148502434,7.08E-05,0.000284632,0
162.5,0.5,66.88963211,0.148514616,6.91E-05,0.000283949,0
163,0.5,67.47638327,0.14845553,6.60E-05,0.00028266,0
163.5,0.5,68.64988558,0.148473804,7.70E-05,0.000284904,0
164,0.5,67.03710631,0.148380607,6.70E-05,0.000284346,0
164.5,0.5,65.43075245,0.148387307,6.68E-05,0.000284031,0
165,0.5,63.9951094,0.148450048,7.07E-05,0.000283801,0
165.5,0.5,63.02521008,0.148395835,7.02E-05,0.000283305,0
166,0.5,64.57245374,0.148394008,6.78E-05,0.000283263,0
166.5,0.5,65.18927679,0.148347105,6.96E-05,0.000284434,0
167,0.5,69.44444444,0.14836416,6.69E-05,0.000284103,0
