"Time (CH28, Marker)","Delta T (CH28, Marker)","Mean (CH 5, Rate)","Mean (CH 2, EDA)","Mean (CH40, OO/Zygo Integrated)","Mean (CH41, Corrugator Integrated)","Mean (CH28, Marker)"
14,0.5,26.09830361,0.680054076,8.53E-05,0.00029219,1.856287425
14.5,0.5,25.80165444,0.655932398,7.85E-05,0.000288455,0
15,0.5,48.4253251,0.63668805,7.94E-05,0.000298276,0
15.5,0.5,70.21468282,0.624183152,8.18E-05,0.00029734,0
16,0.5,93.62745309,0.628801601,8.10E-05,0.000291579,0
16.5,0.5,95.16943878,0.634406236,8.08E-05,0.000290067,2.145708583
17,0.5,98.52216749,0.630612554,8.48E-05,0.000294364,2.764471058
17.5,0.5,100.6028943,0.625025584,8.78E-05,0.000296365,0
18,0.5,100.0652095,0.618933642,8.17E-05,0.000296769,0
18.5,0.5,99.57275908,0.613882708,8.86E-05,0.000295107,0
19,0.5,99.86271301,0.610278467,8.02E-05,0.000294699,0
19.5,0.5,100.4966412,0.608529645,8.14E-05,0.000293172,0
20,0.5,97.56097561,0.608253098,8.04E-05,0.000295512,0
20.5,0.5,94.25293489,0.609366594,8.27E-05,0.000296401,0
21,0.5,92.70358137,0.609897758,7.96E-05,0.000295241,0
21.5,0.5,92.54018258,0.608419392,7.90E-05,0.000296773,0
22,0.5,129.1398405,0.608830557,7.93E-05,0.000295693,0
22.5,0.5,172.1767647,0.610306487,8.12E-05,0.000295736,0
23,0.5,154.9117748,0.611285364,8.18E-05,0.000292608,0
23.5,0.5,78.84362681,0.611343232,7.85E-05,0.00029399,0
24,0.5,93.45629421,0.610549531,8.13E-05,0.000295399,0
24.5,0.5,93.99557177,0.610166995,7.85E-05,0.000298539,0
25,0.5,92.70417816,0.611062421,7.95E-05,0.000297164,0
25.5,0.5,90.36144578,0.611416937,7.85E-05,0.000294077,0
26,0.5,86.97867634,0.612508504,8.14E-05,0.000296843,0
26.5,0.5,86.7590501,0.612014496,7.96E-05,0.000295446,0
27,0.5,86.77980331,0.610810849,7.95E-05,0.000294651,0
27.5,0.5,87.08272859,0.610765164,8.27E-05,0.000289689,0
28,0.5,80.83336113,0.612537133,7.84E-05,0.00029806,0
28.5,0.5,77.37169086,0.6123215,7.75E-05,0.000295865,0
29,0.5,73.43941248,0.611287191,8.16E-05,0.000298609,0
29.5,0.5,74.90901802,0.609590146,8.03E-05,0.000296872,0
30,0.5,76.72634271,0.608505889,8.11E-05,0.00029684,0
30.5,0.5,74.96630208,0.608531472,7.84E-05,0.000295502,0.618762475
31,0.5,74.04933521,0.609373294,7.88E-05,0.000294641,4.281437126
31.5,0.5,70.1754386,0.609276442,7.94E-05,0.000294013,0
32,0.5,71.64020269,0.608022846,8.08E-05,0.000294495,0
32.5,0.5,73.17073171,0.606906305,7.85E-05,0.000295678,0
33,0.5,77.67550107,0.611046584,8.41E-05,0.000292118,0
33.5,0.5,77.49929079,0.626444255,8.11E-05,0.000294747,99999
254.5,0.5,164.3835616,1.153968918,6.40E-05,0.000292481,2.764471058
255,0.5,117.7542607,1.152754306,6.24E-05,0.000293302,0
255.5,0.5,58.19592629,1.15133137,6.49E-05,0.000292911,0
256,0.5,77.74663456,1.147312918,6.36E-05,0.000293636,0
256.5,0.5,79.34782626,1.141449401,6.43E-05,0.000289227,0
257,0.5,79.47019868,1.13513878,6.54E-05,0.000288791,1.087824351
257.5,0.5,75.61109297,1.129685819,6.51E-05,0.000290146,3.832335329
258,0.5,76.84022753,1.124694581,6.57E-05,0.000293265,0
258.5,0.5,81.08108108,1.119264766,7.37E-05,0.000291203,0
259,0.5,88.17623281,1.113777694,6.67E-05,0.000296068,0
259.5,0.5,87.59983021,1.108534883,6.85E-05,0.000294404,0
260,0.5,88.63665992,1.104247803,7.63E-05,0.000294954,0
260.5,0.5,92.30769231,1.100344477,6.67E-05,0.000296669,0
261,0.5,88.60918697,1.095671816,6.91E-05,0.00029288,0
261.5,0.5,85.52379049,1.090577634,8.26E-05,0.000295701,0
262,0.5,82.61112657,1.085428021,7.19E-05,0.000295238,0
262.5,0.5,83.91608392,1.080364905,6.60E-05,0.000294692,0
263,0.5,84.06408282,1.075548488,6.57E-05,0.000297264,0
263.5,0.5,83.63224301,1.070863644,6.65E-05,0.000295793,0
264,0.5,77.12082262,1.065424083,7.02E-05,0.000299596,0
264.5,0.5,77.54623961,1.06041518,6.59E-05,0.000294906,0
265,0.5,78.18115828,1.055064554,6.78E-05,0.000294381,0
265.5,0.5,81.85538881,1.050450978,7.16E-05,0.000297381,0
266,0.5,79.82849226,1.045537709,6.61E-05,0.000298723,0
266.5,0.5,78.02340702,1.040751748,6.74E-05,0.000299175,0
267,0.5,78.02340702,1.035847616,6.57E-05,0.000297099,0
267.5,0.5,80.44362423,1.031248051,6.63E-05,0.000300301,0
268,0.5,82.53094911,1.026487065,6.36E-05,0.000296708,0
268.5,0.5,77.40280298,1.021600598,6.86E-05,0.000293331,0
269,0.5,77.19299302,1.016653217,6.41E-05,0.000291099,0
269.5,0.5,77.02182285,1.011842282,6.51E-05,0.000297577,0
270,0.5,81.65278425,1.007123936,6.51E-05,0.000297314,0
270.5,0.5,80.99991014,1.002398889,6.53E-05,0.000295092,0
271,0.5,80,0.998227544,6.46E-05,0.00029521,99999
272,0.5,78.5851447,0.992419458,6.45E-05,0.000294277,0.359281437
272.5,0.5,80.21390374,0.987914308,6.52E-05,0.000295662,0
273,0.5,81.98998099,0.983155759,6.40E-05,0.000295283,0
273.5,0.5,79.63091128,0.981860741,6.92E-05,0.000293938,0
274,0.5,75.18796992,0.989625364,6.49E-05,0.000291532,0
274.5,0.5,73.39214778,0.994404014,6.41E-05,0.000294186,99999
512.5,0.5,71.17437722,2.71806972,6.48E-05,0.000289065,0.069860279
513,0.5,71.17437722,2.831752876,6.24E-05,0.000292704,0
513.5,0.5,71.17437722,2.808214747,6.63E-05,0.000292957,0
514,0.5,35.26332332,2.656734261,6.34E-05,0.000290917,0
514.5,0.5,25.36997886,2.462679621,6.27E-05,0.000289709,0
515,0.5,25.36997886,2.327631724,6.21E-05,0.000290388,3.77245509
515.5,0.5,25.36997886,2.247626329,6.91E-05,0.000291317,1.137724551
516,0.5,25.36997886,2.197081667,6.25E-05,0.000292513,0
516.5,0.5,38.92549186,2.16020291,6.19E-05,0.000295522,0
517,0.5,96,2.131264205,6.35E-05,0.000295606,0
517.5,0.5,94.70847282,2.107022527,6.22E-05,0.000295488,0
518,0.5,94.40130288,2.096293862,6.23E-05,0.000294038,0
518.5,0.5,94.03008004,2.155628319,6.30E-05,0.000295816,0
519,0.5,93.3082858,2.217384689,6.38E-05,0.000290778,0
519.5,0.5,92.59259259,2.209464128,6.28E-05,0.0002952,0
520,0.5,93.98496678,2.164799429,6.50E-05,0.00029552,0
520.5,0.5,93.59721042,2.124684956,6.28E-05,0.000294359,0
521,0.5,92.12019204,2.09862197,6.34E-05,0.000296999,0
521.5,0.5,87.59124088,2.080751217,6.35E-05,0.000295168,0
522,0.5,90.46638786,2.072497461,6.28E-05,0.000293664,0
522.5,0.5,159.1784468,2.063220361,6.19E-05,0.00029303,0
523,0.5,168.7975401,2.051861243,6.27E-05,0.000292321,0
